,week,staff_id,staff_name,role,service,present,month,available_beds,patients_request,patients_admitted,patients_refused,patient_satisfaction,staff_morale,event,avg_patient_satisfaction,avg_patient_age,total_patients
1278,31,STF-064febb6,Matthew Foster,nurse,emergency,1,8,20,48,20,28,69,81,none,79.54752852,45.3269962,263
1279,32,STF-064febb6,Matthew Foster,nurse,emergency,1,8,20,89,20,69,76,58,none,79.54752852,45.3269962,263
1280,33,STF-064febb6,Matthew Foster,nurse,emergency,0,9,28,54,28,26,92,56,donation,79.54752852,45.3269962,263
1281,34,STF-064febb6,Matthew Foster,nurse,emergency,1,9,21,31,21,10,64,60,strike,79.54752852,45.3269962,263
1282,35,STF-064febb6,Matthew Foster,nurse,emergency,0,9,15,81,15,66,93,77,none,79.54752852,45.3269962,263
1283,36,STF-064febb6,Matthew Foster,nurse,emergency,0,9,28,115,28,87,70,88,none,79.54752852,45.3269962,263
1284,37,STF-064febb6,Matthew Foster,nurse,emergency,1,10,23,110,23,87,76,54,none,79.54752852,45.3269962,263
1285,38,STF-064febb6,Matthew Foster,nurse,emergency,1,10,22,71,22,49,67,53,none,79.54752852,45.3269962,263
1286,39,STF-064febb6,Matthew Foster,nurse,emergency,0,10,20,67,20,47,85,95,none,79.54752852,45.3269962,263
1287,40,STF-064febb6,Matthew Foster,nurse,emergency,1,10,18,57,18,39,81,43,strike,79.54752852,45.3269962,263
1288,41,STF-064febb6,Matthew Foster,nurse,emergency,1,11,27,92,27,65,69,88,none,79.54752852,45.3269962,263
1289,42,STF-064febb6,Matthew Foster,nurse,emergency,0,11,24,99,24,75,67,89,none,79.54752852,45.3269962,263
1290,43,STF-064febb6,Matthew Foster,nurse,emergency,0,11,21,171,21,150,70,79,none,79.54752852,45.3269962,263
1291,44,STF-064febb6,Matthew Foster,nurse,emergency,1,11,27,138,27,111,74,60,none,79.54752852,45.3269962,263
1292,45,STF-064febb6,Matthew Foster,nurse,emergency,0,12,32,193,32,161,72,92,none,79.54752852,45.3269962,263
1293,46,STF-064febb6,Matthew Foster,nurse,emergency,1,12,36,187,36,151,64,93,none,79.54752852,45.3269962,263
1294,47,STF-064febb6,Matthew Foster,nurse,emergency,1,12,22,91,22,69,63,54,strike,79.54752852,45.3269962,263
1295,48,STF-064febb6,Matthew Foster,nurse,emergency,0,12,20,165,20,145,99,89,none,79.54752852,45.3269962,263
1296,49,STF-064febb6,Matthew Foster,nurse,emergency,1,12,26,137,26,111,92,86,none,79.54752852,45.3269962,263
1297,50,STF-064febb6,Matthew Foster,nurse,emergency,1,12,24,101,24,77,63,61,none,79.54752852,45.3269962,263
1298,51,STF-064febb6,Matthew Foster,nurse,emergency,0,12,31,123,31,92,71,75,none,79.54752852,45.3269962,263
1299,52,STF-064febb6,Matthew Foster,nurse,emergency,0,12,26,130,26,104,88,63,none,79.54752852,45.3269962,263
1300,1,STF-8a4df0f8,Judy Baker,nurse,emergency,1,1,32,76,32,44,67,70,none,79.54752852,45.3269962,263
1301,2,STF-8a4df0f8,Judy Baker,nurse,emergency,1,1,28,169,28,141,75,64,none,79.54752852,45.3269962,263
1302,3,STF-8a4df0f8,Judy Baker,nurse,emergency,0,1,32,177,32,145,73,58,flu,79.54752852,45.3269962,263
1303,4,STF-8a4df0f8,Judy Baker,nurse,emergency,0,1,32,157,32,125,83,75,none,79.54752852,45.3269962,263
1304,5,STF-8a4df0f8,Judy Baker,nurse,emergency,1,2,25,388,25,363,93,72,flu,79.54752852,45.3269962,263
1305,6,STF-8a4df0f8,Judy Baker,nurse,emergency,0,2,34,198,34,164,72,76,flu,79.54752852,45.3269962,263
1306,7,STF-8a4df0f8,Judy Baker,nurse,emergency,1,2,33,127,33,94,65,77,none,79.54752852,45.3269962,263
1307,8,STF-8a4df0f8,Judy Baker,nurse,emergency,1,2,26,240,26,214,96,75,flu,79.54752852,45.3269962,263
1308,9,STF-8a4df0f8,Judy Baker,nurse,emergency,0,3,28,113,28,85,82,86,none,79.54752852,45.3269962,263
1309,10,STF-8a4df0f8,Judy Baker,nurse,emergency,1,3,17,130,17,113,81,60,none,79.54752852,45.3269962,263
1310,11,STF-8a4df0f8,Judy Baker,nurse,emergency,1,3,16,97,16,81,98,72,donation,79.54752852,45.3269962,263
1311,12,STF-8a4df0f8,Judy Baker,nurse,emergency,0,3,28,347,28,319,68,83,flu,79.54752852,45.3269962,263
1312,13,STF-8a4df0f8,Judy Baker,nurse,emergency,1,4,23,142,23,119,77,95,none,79.54752852,45.3269962,263
1313,14,STF-8a4df0f8,Judy Baker,nurse,emergency,1,4,15,97,15,82,71,71,none,79.54752852,45.3269962,263
1314,15,STF-8a4df0f8,Judy Baker,nurse,emergency,0,4,17,53,17,36,94,98,none,79.54752852,45.3269962,263
1315,16,STF-8a4df0f8,Judy Baker,nurse,emergency,1,4,23,144,23,121,62,89,none,79.54752852,45.3269962,263
1316,17,STF-8a4df0f8,Judy Baker,nurse,emergency,1,5,21,133,21,112,84,73,none,79.54752852,45.3269962,263
1317,18,STF-8a4df0f8,Judy Baker,nurse,emergency,0,5,18,100,18,82,81,80,donation,79.54752852,45.3269962,263
1318,19,STF-8a4df0f8,Judy Baker,nurse,emergency,0,5,16,70,16,54,99,45,strike,79.54752852,45.3269962,263
1319,20,STF-8a4df0f8,Judy Baker,nurse,emergency,1,5,21,45,21,24,93,81,none,79.54752852,45.3269962,263
1320,21,STF-8a4df0f8,Judy Baker,nurse,emergency,0,6,18,95,18,77,88,63,none,79.54752852,45.3269962,263
1321,22,STF-8a4df0f8,Judy Baker,nurse,emergency,1,6,16,129,16,113,69,68,none,79.54752852,45.3269962,263
1322,23,STF-8a4df0f8,Judy Baker,nurse,emergency,1,6,22,54,22,32,62,50,none,79.54752852,45.3269962,263
1323,24,STF-8a4df0f8,Judy Baker,nurse,emergency,0,6,18,105,18,87,70,78,none,79.54752852,45.3269962,263
1324,25,STF-8a4df0f8,Judy Baker,nurse,emergency,1,7,15,48,15,33,72,72,none,79.54752852,45.3269962,263
1325,26,STF-8a4df0f8,Judy Baker,nurse,emergency,1,7,18,96,18,78,87,63,none,79.54752852,45.3269962,263
1326,27,STF-8a4df0f8,Judy Baker,nurse,emergency,0,7,15,67,15,52,82,78,none,79.54752852,45.3269962,263
1327,28,STF-8a4df0f8,Judy Baker,nurse,emergency,1,7,15,69,15,54,78,66,donation,79.54752852,45.3269962,263
1328,29,STF-8a4df0f8,Judy Baker,nurse,emergency,1,8,16,92,16,76,72,99,none,79.54752852,45.3269962,263
1329,30,STF-8a4df0f8,Judy Baker,nurse,emergency,0,8,16,85,16,69,91,94,none,79.54752852,45.3269962,263
1330,31,STF-8a4df0f8,Judy Baker,nurse,emergency,0,8,20,48,20,28,69,81,none,79.54752852,45.3269962,263
1331,32,STF-8a4df0f8,Judy Baker,nurse,emergency,1,8,20,89,20,69,76,58,none,79.54752852,45.3269962,263
1332,33,STF-8a4df0f8,Judy Baker,nurse,emergency,0,9,28,54,28,26,92,56,donation,79.54752852,45.3269962,263
1333,34,STF-8a4df0f8,Judy Baker,nurse,emergency,0,9,21,31,21,10,64,60,strike,79.54752852,45.3269962,263
1334,35,STF-8a4df0f8,Judy Baker,nurse,emergency,1,9,15,81,15,66,93,77,none,79.54752852,45.3269962,263
1335,36,STF-8a4df0f8,Judy Baker,nurse,emergency,0,9,28,115,28,87,70,88,none,79.54752852,45.3269962,263
1336,37,STF-8a4df0f8,Judy Baker,nurse,emergency,1,10,23,110,23,87,76,54,none,79.54752852,45.3269962,263
1337,38,STF-8a4df0f8,Judy Baker,nurse,emergency,1,10,22,71,22,49,67,53,none,79.54752852,45.3269962,263
1338,39,STF-8a4df0f8,Judy Baker,nurse,emergency,0,10,20,67,20,47,85,95,none,79.54752852,45.3269962,263
1339,40,STF-8a4df0f8,Judy Baker,nurse,emergency,1,10,18,57,18,39,81,43,strike,79.54752852,45.3269962,263
1340,41,STF-8a4df0f8,Judy Baker,nurse,emergency,1,11,27,92,27,65,69,88,none,79.54752852,45.3269962,263
1341,42,STF-8a4df0f8,Judy Baker,nurse,emergency,0,11,24,99,24,75,67,89,none,79.54752852,45.3269962,263
1342,43,STF-8a4df0f8,Judy Baker,nurse,emergency,1,11,21,171,21,150,70,79,none,79.54752852,45.3269962,263
1343,44,STF-8a4df0f8,Judy Baker,nurse,emergency,1,11,27,138,27,111,74,60,none,79.54752852,45.3269962,263
1344,45,STF-8a4df0f8,Judy Baker,nurse,emergency,0,12,32,193,32,161,72,92,none,79.54752852,45.3269962,263
1345,46,STF-8a4df0f8,Judy Baker,nurse,emergency,1,12,36,187,36,151,64,93,none,79.54752852,45.3269962,263
1346,47,STF-8a4df0f8,Judy Baker,nurse,emergency,1,12,22,91,22,69,63,54,strike,79.54752852,45.3269962,263
1347,48,STF-8a4df0f8,Judy Baker,nurse,emergency,0,12,20,165,20,145,99,89,none,79.54752852,45.3269962,263
1348,49,STF-8a4df0f8,Judy Baker,nurse,emergency,1,12,26,137,26,111,92,86,none,79.54752852,45.3269962,263
1349,50,STF-8a4df0f8,Judy Baker,nurse,emergency,1,12,24,101,24,77,63,61,none,79.54752852,45.3269962,263
1350,51,STF-8a4df0f8,Judy Baker,nurse,emergency,0,12,31,123,31,92,71,75,none,79.54752852,45.3269962,263
1351,52,STF-8a4df0f8,Judy Baker,nurse,emergency,1,12,26,130,26,104,88,63,none,79.54752852,45.3269962,263
1352,1,STF-550b832f,Justin Baker,nurse,emergency,0,1,32,76,32,44,67,70,none,79.54752852,45.3269962,263
1353,2,STF-550b832f,Justin Baker,nurse,emergency,1,1,28,169,28,141,75,64,none,79.54752852,45.3269962,263
1354,3,STF-550b832f,Justin Baker,nurse,emergency,0,1,32,177,32,145,73,58,flu,79.54752852,45.3269962,263
1355,4,STF-550b832f,Justin Baker,nurse,emergency,1,1,32,157,32,125,83,75,none,79.54752852,45.3269962,263
1356,5,STF-550b832f,Justin Baker,nurse,emergency,1,2,25,388,25,363,93,72,flu,79.54752852,45.3269962,263
1357,6,STF-550b832f,Justin Baker,nurse,emergency,0,2,34,198,34,164,72,76,flu,79.54752852,45.3269962,263
1358,7,STF-550b832f,Justin Baker,nurse,emergency,1,2,33,127,33,94,65,77,none,79.54752852,45.3269962,263
1359,8,STF-550b832f,Justin Baker,nurse,emergency,1,2,26,240,26,214,96,75,flu,79.54752852,45.3269962,263
1360,9,STF-550b832f,Justin Baker,nurse,emergency,0,3,28,113,28,85,82,86,none,79.54752852,45.3269962,263
1361,10,STF-550b832f,Justin Baker,nurse,emergency,1,3,17,130,17,113,81,60,none,79.54752852,45.3269962,263
1362,11,STF-550b832f,Justin Baker,nurse,emergency,0,3,16,97,16,81,98,72,donation,79.54752852,45.3269962,263
1363,12,STF-550b832f,Justin Baker,nurse,emergency,0,3,28,347,28,319,68,83,flu,79.54752852,45.3269962,263
1364,13,STF-550b832f,Justin Baker,nurse,emergency,1,4,23,142,23,119,77,95,none,79.54752852,45.3269962,263
1365,14,STF-550b832f,Justin Baker,nurse,emergency,1,4,15,97,15,82,71,71,none,79.54752852,45.3269962,263
1366,15,STF-550b832f,Justin Baker,nurse,emergency,0,4,17,53,17,36,94,98,none,79.54752852,45.3269962,263
1367,16,STF-550b832f,Justin Baker,nurse,emergency,1,4,23,144,23,121,62,89,none,79.54752852,45.3269962,263
1368,17,STF-550b832f,Justin Baker,nurse,emergency,1,5,21,133,21,112,84,73,none,79.54752852,45.3269962,263
1369,18,STF-550b832f,Justin Baker,nurse,emergency,0,5,18,100,18,82,81,80,donation,79.54752852,45.3269962,263
1370,19,STF-550b832f,Justin Baker,nurse,emergency,1,5,16,70,16,54,99,45,strike,79.54752852,45.3269962,263
1371,20,STF-550b832f,Justin Baker,nurse,emergency,1,5,21,45,21,24,93,81,none,79.54752852,45.3269962,263
1372,21,STF-550b832f,Justin Baker,nurse,emergency,0,6,18,95,18,77,88,63,none,79.54752852,45.3269962,263
1373,22,STF-550b832f,Justin Baker,nurse,emergency,1,6,16,129,16,113,69,68,none,79.54752852,45.3269962,263
1374,23,STF-550b832f,Justin Baker,nurse,emergency,1,6,22,54,22,32,62,50,none,79.54752852,45.3269962,263
1375,24,STF-550b832f,Justin Baker,nurse,emergency,0,6,18,105,18,87,70,78,none,79.54752852,45.3269962,263
1376,25,STF-550b832f,Justin Baker,nurse,emergency,1,7,15,48,15,33,72,72,none,79.54752852,45.3269962,263
1377,26,STF-550b832f,Justin Baker,nurse,emergency,1,7,18,96,18,78,87,63,none,79.54752852,45.3269962,263
1378,27,STF-550b832f,Justin Baker,nurse,emergency,0,7,15,67,15,52,82,78,none,79.54752852,45.3269962,263
1379,28,STF-550b832f,Justin Baker,nurse,emergency,1,7,15,69,15,54,78,66,donation,79.54752852,45.3269962,263
1380,29,STF-550b832f,Justin Baker,nurse,emergency,0,8,16,92,16,76,72,99,none,79.54752852,45.3269962,263
1381,30,STF-550b832f,Justin Baker,nurse,emergency,0,8,16,85,16,69,91,94,none,79.54752852,45.3269962,263
1382,31,STF-550b832f,Justin Baker,nurse,emergency,1,8,20,48,20,28,69,81,none,79.54752852,45.3269962,263
1383,32,STF-550b832f,Justin Baker,nurse,emergency,1,8,20,89,20,69,76,58,none,79.54752852,45.3269962,263
1384,33,STF-550b832f,Justin Baker,nurse,emergency,0,9,28,54,28,26,92,56,donation,79.54752852,45.3269962,263
1385,34,STF-550b832f,Justin Baker,nurse,emergency,1,9,21,31,21,10,64,60,strike,79.54752852,45.3269962,263
1386,35,STF-550b832f,Justin Baker,nurse,emergency,1,9,15,81,15,66,93,77,none,79.54752852,45.3269962,263
1387,36,STF-550b832f,Justin Baker,nurse,emergency,0,9,28,115,28,87,70,88,none,79.54752852,45.3269962,263
1388,37,STF-550b832f,Justin Baker,nurse,emergency,1,10,23,110,23,87,76,54,none,79.54752852,45.3269962,263
1389,38,STF-550b832f,Justin Baker,nurse,emergency,1,10,22,71,22,49,67,53,none,79.54752852,45.3269962,263
1390,39,STF-550b832f,Justin Baker,nurse,emergency,0,10,20,67,20,47,85,95,none,79.54752852,45.3269962,263
1391,40,STF-550b832f,Justin Baker,nurse,emergency,1,10,18,57,18,39,81,43,strike,79.54752852,45.3269962,263
1392,41,STF-550b832f,Justin Baker,nurse,emergency,1,11,27,92,27,65,69,88,none,79.54752852,45.3269962,263
1393,42,STF-550b832f,Justin Baker,nurse,emergency,0,11,24,99,24,75,67,89,none,79.54752852,45.3269962,263
1394,43,STF-550b832f,Justin Baker,nurse,emergency,1,11,21,171,21,150,70,79,none,79.54752852,45.3269962,263
1395,44,STF-550b832f,Justin Baker,nurse,emergency,1,11,27,138,27,111,74,60,none,79.54752852,45.3269962,263
1396,45,STF-550b832f,Justin Baker,nurse,emergency,0,12,32,193,32,161,72,92,none,79.54752852,45.3269962,263
1397,46,STF-550b832f,Justin Baker,nurse,emergency,0,12,36,187,36,151,64,93,none,79.54752852,45.3269962,263
1398,47,STF-550b832f,Justin Baker,nurse,emergency,1,12,22,91,22,69,63,54,strike,79.54752852,45.3269962,263
1399,48,STF-550b832f,Justin Baker,nurse,emergency,0,12,20,165,20,145,99,89,none,79.54752852,45.3269962,263
1400,49,STF-550b832f,Justin Baker,nurse,emergency,1,12,26,137,26,111,92,86,none,79.54752852,45.3269962,263
1401,50,STF-550b832f,Justin Baker,nurse,emergency,1,12,24,101,24,77,63,61,none,79.54752852,45.3269962,263
1402,51,STF-550b832f,Justin Baker,nurse,emergency,0,12,31,123,31,92,71,75,none,79.54752852,45.3269962,263
1403,52,STF-550b832f,Justin Baker,nurse,emergency,1,12,26,130,26,104,88,63,none,79.54752852,45.3269962,263
1404,1,STF-b13eeb99,Stephanie Ross,nurse,emergency,1,1,32,76,32,44,67,70,none,79.54752852,45.3269962,263
1405,2,STF-b13eeb99,Stephanie Ross,nurse,emergency,1,1,28,169,28,141,75,64,none,79.54752852,45.3269962,263
1406,3,STF-b13eeb99,Stephanie Ross,nurse,emergency,0,1,32,177,32,145,73,58,flu,79.54752852,45.3269962,263
1407,4,STF-b13eeb99,Stephanie Ross,nurse,emergency,1,1,32,157,32,125,83,75,none,79.54752852,45.3269962,263
1408,5,STF-b13eeb99,Stephanie Ross,nurse,emergency,1,2,25,388,25,363,93,72,flu,79.54752852,45.3269962,263
1409,6,STF-b13eeb99,Stephanie Ross,nurse,emergency,0,2,34,198,34,164,72,76,flu,79.54752852,45.3269962,263
1410,7,STF-b13eeb99,Stephanie Ross,nurse,emergency,1,2,33,127,33,94,65,77,none,79.54752852,45.3269962,263
1411,8,STF-b13eeb99,Stephanie Ross,nurse,emergency,1,2,26,240,26,214,96,75,flu,79.54752852,45.3269962,263
1412,9,STF-b13eeb99,Stephanie Ross,nurse,emergency,0,3,28,113,28,85,82,86,none,79.54752852,45.3269962,263
1413,10,STF-b13eeb99,Stephanie Ross,nurse,emergency,1,3,17,130,17,113,81,60,none,79.54752852,45.3269962,263
1414,11,STF-b13eeb99,Stephanie Ross,nurse,emergency,1,3,16,97,16,81,98,72,donation,79.54752852,45.3269962,263
1415,12,STF-b13eeb99,Stephanie Ross,nurse,emergency,0,3,28,347,28,319,68,83,flu,79.54752852,45.3269962,263
1416,13,STF-b13eeb99,Stephanie Ross,nurse,emergency,1,4,23,142,23,119,77,95,none,79.54752852,45.3269962,263
1417,14,STF-b13eeb99,Stephanie Ross,nurse,emergency,0,4,15,97,15,82,71,71,none,79.54752852,45.3269962,263
1418,15,STF-b13eeb99,Stephanie Ross,nurse,emergency,0,4,17,53,17,36,94,98,none,79.54752852,45.3269962,263
1419,16,STF-b13eeb99,Stephanie Ross,nurse,emergency,1,4,23,144,23,121,62,89,none,79.54752852,45.3269962,263
1420,17,STF-b13eeb99,Stephanie Ross,nurse,emergency,1,5,21,133,21,112,84,73,none,79.54752852,45.3269962,263
1421,18,STF-b13eeb99,Stephanie Ross,nurse,emergency,0,5,18,100,18,82,81,80,donation,79.54752852,45.3269962,263
1422,19,STF-b13eeb99,Stephanie Ross,nurse,emergency,1,5,16,70,16,54,99,45,strike,79.54752852,45.3269962,263
1423,20,STF-b13eeb99,Stephanie Ross,nurse,emergency,1,5,21,45,21,24,93,81,none,79.54752852,45.3269962,263
1424,21,STF-b13eeb99,Stephanie Ross,nurse,emergency,0,6,18,95,18,77,88,63,none,79.54752852,45.3269962,263
1425,22,STF-b13eeb99,Stephanie Ross,nurse,emergency,1,6,16,129,16,113,69,68,none,79.54752852,45.3269962,263
1426,23,STF-b13eeb99,Stephanie Ross,nurse,emergency,1,6,22,54,22,32,62,50,none,79.54752852,45.3269962,263
1427,24,STF-b13eeb99,Stephanie Ross,nurse,emergency,0,6,18,105,18,87,70,78,none,79.54752852,45.3269962,263
1428,25,STF-b13eeb99,Stephanie Ross,nurse,emergency,1,7,15,48,15,33,72,72,none,79.54752852,45.3269962,263
1429,26,STF-b13eeb99,Stephanie Ross,nurse,emergency,1,7,18,96,18,78,87,63,none,79.54752852,45.3269962,263
1430,27,STF-b13eeb99,Stephanie Ross,nurse,emergency,0,7,15,67,15,52,82,78,none,79.54752852,45.3269962,263
1431,28,STF-b13eeb99,Stephanie Ross,nurse,emergency,1,7,15,69,15,54,78,66,donation,79.54752852,45.3269962,263
1432,29,STF-b13eeb99,Stephanie Ross,nurse,emergency,1,8,16,92,16,76,72,99,none,79.54752852,45.3269962,263
1433,30,STF-b13eeb99,Stephanie Ross,nurse,emergency,0,8,16,85,16,69,91,94,none,79.54752852,45.3269962,263
1434,31,STF-b13eeb99,Stephanie Ross,nurse,emergency,1,8,20,48,20,28,69,81,none,79.54752852,45.3269962,263
1435,32,STF-b13eeb99,Stephanie Ross,nurse,emergency,1,8,20,89,20,69,76,58,none,79.54752852,45.3269962,263
1436,33,STF-b13eeb99,Stephanie Ross,nurse,emergency,0,9,28,54,28,26,92,56,donation,79.54752852,45.3269962,263
1437,34,STF-b13eeb99,Stephanie Ross,nurse,emergency,1,9,21,31,21,10,64,60,strike,79.54752852,45.3269962,263
1438,35,STF-b13eeb99,Stephanie Ross,nurse,emergency,1,9,15,81,15,66,93,77,none,79.54752852,45.3269962,263
1439,36,STF-b13eeb99,Stephanie Ross,nurse,emergency,0,9,28,115,28,87,70,88,none,79.54752852,45.3269962,263
1440,37,STF-b13eeb99,Stephanie Ross,nurse,emergency,1,10,23,110,23,87,76,54,none,79.54752852,45.3269962,263
1441,38,STF-b13eeb99,Stephanie Ross,nurse,emergency,1,10,22,71,22,49,67,53,none,79.54752852,45.3269962,263
1442,39,STF-b13eeb99,Stephanie Ross,nurse,emergency,0,10,20,67,20,47,85,95,none,79.54752852,45.3269962,263
1443,40,STF-b13eeb99,Stephanie Ross,nurse,emergency,1,10,18,57,18,39,81,43,strike,79.54752852,45.3269962,263
1444,41,STF-b13eeb99,Stephanie Ross,nurse,emergency,1,11,27,92,27,65,69,88,none,79.54752852,45.3269962,263
1445,42,STF-b13eeb99,Stephanie Ross,nurse,emergency,0,11,24,99,24,75,67,89,none,79.54752852,45.3269962,263
1446,43,STF-b13eeb99,Stephanie Ross,nurse,emergency,1,11,21,171,21,150,70,79,none,79.54752852,45.3269962,263
1447,44,STF-b13eeb99,Stephanie Ross,nurse,emergency,1,11,27,138,27,111,74,60,none,79.54752852,45.3269962,263
1448,45,STF-b13eeb99,Stephanie Ross,nurse,emergency,0,12,32,193,32,161,72,92,none,79.54752852,45.3269962,263
1449,46,STF-b13eeb99,Stephanie Ross,nurse,emergency,1,12,36,187,36,151,64,93,none,79.54752852,45.3269962,263
1450,47,STF-b13eeb99,Stephanie Ross,nurse,emergency,1,12,22,91,22,69,63,54,strike,79.54752852,45.3269962,263
1451,48,STF-b13eeb99,Stephanie Ross,nurse,emergency,0,12,20,165,20,145,99,89,none,79.54752852,45.3269962,263
1452,49,STF-b13eeb99,Stephanie Ross,nurse,emergency,1,12,26,137,26,111,92,86,none,79.54752852,45.3269962,263
1453,50,STF-b13eeb99,Stephanie Ross,nurse,emergency,1,12,24,101,24,77,63,61,none,79.54752852,45.3269962,263
1454,51,STF-b13eeb99,Stephanie Ross,nurse,emergency,0,12,31,123,31,92,71,75,none,79.54752852,45.3269962,263
1455,52,STF-b13eeb99,Stephanie Ross,nurse,emergency,1,12,26,130,26,104,88,63,none,79.54752852,45.3269962,263
1456,1,STF-d1d59a8b,Zachary Hicks,nurse,emergency,1,1,32,76,32,44,67,70,none,79.54752852,45.3269962,263
1457,2,STF-d1d59a8b,Zachary Hicks,nurse,emergency,1,1,28,169,28,141,75,64,none,79.54752852,45.3269962,263
1458,3,STF-d1d59a8b,Zachary Hicks,nurse,emergency,0,1,32,177,32,145,73,58,flu,79.54752852,45.3269962,263
1459,4,STF-d1d59a8b,Zachary Hicks,nurse,emergency,1,1,32,157,32,125,83,75,none,79.54752852,45.3269962,263
1460,5,STF-d1d59a8b,Zachary Hicks,nurse,emergency,1,2,25,388,25,363,93,72,flu,79.54752852,45.3269962,263
1461,6,STF-d1d59a8b,Zachary Hicks,nurse,emergency,0,2,34,198,34,164,72,76,flu,79.54752852,45.3269962,263
1462,7,STF-d1d59a8b,Zachary Hicks,nurse,emergency,1,2,33,127,33,94,65,77,none,79.54752852,45.3269962,263
1463,8,STF-d1d59a8b,Zachary Hicks,nurse,emergency,1,2,26,240,26,214,96,75,flu,79.54752852,45.3269962,263
1464,9,STF-d1d59a8b,Zachary Hicks,nurse,emergency,0,3,28,113,28,85,82,86,none,79.54752852,45.3269962,263
1465,10,STF-d1d59a8b,Zachary Hicks,nurse,emergency,1,3,17,130,17,113,81,60,none,79.54752852,45.3269962,263
1466,11,STF-d1d59a8b,Zachary Hicks,nurse,emergency,1,3,16,97,16,81,98,72,donation,79.54752852,45.3269962,263
1467,12,STF-d1d59a8b,Zachary Hicks,nurse,emergency,0,3,28,347,28,319,68,83,flu,79.54752852,45.3269962,263
1468,13,STF-d1d59a8b,Zachary Hicks,nurse,emergency,1,4,23,142,23,119,77,95,none,79.54752852,45.3269962,263
1469,14,STF-d1d59a8b,Zachary Hicks,nurse,emergency,1,4,15,97,15,82,71,71,none,79.54752852,45.3269962,263
1470,15,STF-d1d59a8b,Zachary Hicks,nurse,emergency,0,4,17,53,17,36,94,98,none,79.54752852,45.3269962,263
1471,16,STF-d1d59a8b,Zachary Hicks,nurse,emergency,1,4,23,144,23,121,62,89,none,79.54752852,45.3269962,263
1472,17,STF-d1d59a8b,Zachary Hicks,nurse,emergency,1,5,21,133,21,112,84,73,none,79.54752852,45.3269962,263
1473,18,STF-d1d59a8b,Zachary Hicks,nurse,emergency,0,5,18,100,18,82,81,80,donation,79.54752852,45.3269962,263
1474,19,STF-d1d59a8b,Zachary Hicks,nurse,emergency,0,5,16,70,16,54,99,45,strike,79.54752852,45.3269962,263
1475,20,STF-d1d59a8b,Zachary Hicks,nurse,emergency,1,5,21,45,21,24,93,81,none,79.54752852,45.3269962,263
1476,21,STF-d1d59a8b,Zachary Hicks,nurse,emergency,0,6,18,95,18,77,88,63,none,79.54752852,45.3269962,263
1477,22,STF-d1d59a8b,Zachary Hicks,nurse,emergency,1,6,16,129,16,113,69,68,none,79.54752852,45.3269962,263
1478,23,STF-d1d59a8b,Zachary Hicks,nurse,emergency,1,6,22,54,22,32,62,50,none,79.54752852,45.3269962,263
1479,24,STF-d1d59a8b,Zachary Hicks,nurse,emergency,0,6,18,105,18,87,70,78,none,79.54752852,45.3269962,263
1480,25,STF-d1d59a8b,Zachary Hicks,nurse,emergency,1,7,15,48,15,33,72,72,none,79.54752852,45.3269962,263
1481,26,STF-d1d59a8b,Zachary Hicks,nurse,emergency,1,7,18,96,18,78,87,63,none,79.54752852,45.3269962,263
1482,27,STF-d1d59a8b,Zachary Hicks,nurse,emergency,0,7,15,67,15,52,82,78,none,79.54752852,45.3269962,263
1483,28,STF-d1d59a8b,Zachary Hicks,nurse,emergency,1,7,15,69,15,54,78,66,donation,79.54752852,45.3269962,263
1484,29,STF-d1d59a8b,Zachary Hicks,nurse,emergency,1,8,16,92,16,76,72,99,none,79.54752852,45.3269962,263
1485,30,STF-d1d59a8b,Zachary Hicks,nurse,emergency,0,8,16,85,16,69,91,94,none,79.54752852,45.3269962,263
1486,31,STF-d1d59a8b,Zachary Hicks,nurse,emergency,1,8,20,48,20,28,69,81,none,79.54752852,45.3269962,263
1487,32,STF-d1d59a8b,Zachary Hicks,nurse,emergency,1,8,20,89,20,69,76,58,none,79.54752852,45.3269962,263
1488,33,STF-d1d59a8b,Zachary Hicks,nurse,emergency,0,9,28,54,28,26,92,56,donation,79.54752852,45.3269962,263
1489,34,STF-d1d59a8b,Zachary Hicks,nurse,emergency,1,9,21,31,21,10,64,60,strike,79.54752852,45.3269962,263
1490,35,STF-d1d59a8b,Zachary Hicks,nurse,emergency,0,9,15,81,15,66,93,77,none,79.54752852,45.3269962,263
1491,36,STF-d1d59a8b,Zachary Hicks,nurse,emergency,0,9,28,115,28,87,70,88,none,79.54752852,45.3269962,263
1492,37,STF-d1d59a8b,Zachary Hicks,nurse,emergency,1,10,23,110,23,87,76,54,none,79.54752852,45.3269962,263
1493,38,STF-d1d59a8b,Zachary Hicks,nurse,emergency,1,10,22,71,22,49,67,53,none,79.54752852,45.3269962,263
1494,39,STF-d1d59a8b,Zachary Hicks,nurse,emergency,0,10,20,67,20,47,85,95,none,79.54752852,45.3269962,263
1495,40,STF-d1d59a8b,Zachary Hicks,nurse,emergency,1,10,18,57,18,39,81,43,strike,79.54752852,45.3269962,263
1496,41,STF-d1d59a8b,Zachary Hicks,nurse,emergency,1,11,27,92,27,65,69,88,none,79.54752852,45.3269962,263
1497,42,STF-d1d59a8b,Zachary Hicks,nurse,emergency,0,11,24,99,24,75,67,89,none,79.54752852,45.3269962,263
